s, \mum
m,t,wx,wy,hxx,hyy,hxy
1.000000,10.413793,2.944380,-1.479746,1.000000,1.000000,0.000000
1.000000,11.241379,3.277578,-0.935540,1.000000,1.000000,0.000000
1.000000,12.068966,2.930473,-0.998907,1.000000,1.000000,0.000000
1.000000,12.896552,3.174051,-0.544660,1.000000,1.000000,0.000000
1.000000,13.724138,3.720674,-0.857640,1.000000,1.000000,0.000000
1.000000,14.551724,4.100122,-0.747708,1.000000,1.000000,0.000000
1.000000,15.379310,3.939305,-0.668832,1.000000,1.000000,0.000000
1.000000,16.206897,3.452513,-0.949324,1.000000,1.000000,0.000000
2.000000,12.896552,4.580464,-3.904483,1.000000,1.000000,0.000000
2.000000,13.724138,4.743825,-3.582507,1.000000,1.000000,0.000000
2.000000,14.551724,4.528593,-3.293982,1.000000,1.000000,0.000000
2.000000,15.379310,4.522038,-2.805185,1.000000,1.000000,0.000000
2.000000,16.206897,4.814313,-2.742475,1.000000,1.000000,0.000000
3.000000,6.275862,4.131718,-0.007883,1.000000,1.000000,0.000000
3.000000,7.103448,3.685297,0.065477,1.000000,1.000000,0.000000
3.000000,7.931034,3.880252,0.297388,1.000000,1.000000,0.000000
3.000000,8.758621,4.383264,1.013368,1.000000,1.000000,0.000000
3.000000,9.586207,4.263333,1.562472,1.000000,1.000000,0.000000
3.000000,10.413793,3.829781,1.242723,1.000000,1.000000,0.000000
3.000000,11.241379,3.406593,0.930004,1.000000,1.000000,0.000000
3.000000,12.068966,3.111770,-0.085336,1.000000,1.000000,0.000000
3.000000,12.896552,3.429946,0.010920,1.000000,1.000000,0.000000
3.000000,13.724138,3.723158,-0.881918,1.000000,1.000000,0.000000
3.000000,14.551724,3.102349,-0.312548,1.000000,1.000000,0.000000
3.000000,15.379310,3.300060,-0.499495,1.000000,1.000000,0.000000
3.000000,16.206897,3.893591,-0.375983,1.000000,1.000000,0.000000
4.000000,12.068966,4.183823,-3.825122,1.000000,1.000000,0.000000
4.000000,12.896552,4.991614,-4.405685,1.000000,1.000000,0.000000
4.000000,13.724138,3.974297,-4.272828,1.000000,1.000000,0.000000
4.000000,14.551724,4.276364,-4.259135,1.000000,1.000000,0.000000
4.000000,15.379310,4.015901,-4.199553,1.000000,1.000000,0.000000
4.000000,16.206897,4.074824,-3.550412,1.000000,1.000000,0.000000
5.000000,13.724138,8.400271,-2.725399,1.000000,1.000000,0.000000
5.000000,14.551724,8.574324,-2.354868,1.000000,1.000000,0.000000
5.000000,15.379310,8.646688,-1.468832,1.000000,1.000000,0.000000
5.000000,16.206897,8.514816,-1.364465,1.000000,1.000000,0.000000
6.000000,4.620690,6.833932,-9.879138,1.000000,1.000000,0.000000
6.000000,5.448276,6.990612,-10.503020,1.000000,1.000000,0.000000
6.000000,6.275862,6.315573,-10.063615,1.000000,1.000000,0.000000
6.000000,7.103448,6.431143,-10.277648,1.000000,1.000000,0.000000
6.000000,7.931034,6.908785,-9.734322,1.000000,1.000000,0.000000
6.000000,8.758621,6.744712,-9.429125,1.000000,1.000000,0.000000
6.000000,9.586207,6.398020,-9.411564,1.000000,1.000000,0.000000
6.000000,10.413793,7.277159,-9.277394,1.000000,1.000000,0.000000
6.000000,11.241379,7.291818,-8.423772,1.000000,1.000000,0.000000
6.000000,12.068966,7.273407,-7.887199,1.000000,1.000000,0.000000
6.000000,12.896552,7.327278,-7.795426,1.000000,1.000000,0.000000
6.000000,13.724138,6.575602,-7.863459,1.000000,1.000000,0.000000
6.000000,14.551724,5.953917,-7.914575,1.000000,1.000000,0.000000
6.000000,15.379310,5.602377,-7.147033,1.000000,1.000000,0.000000
6.000000,16.206897,4.962009,-6.791354,1.000000,1.000000,0.000000
7.000000,6.275862,-1.344191,-5.851676,1.000000,1.000000,0.000000
7.000000,7.103448,-1.560522,-5.475006,1.000000,1.000000,0.000000
7.000000,7.931034,-1.069594,-5.607750,1.000000,1.000000,0.000000
7.000000,8.758621,-0.691317,-5.526654,1.000000,1.000000,0.000000
7.000000,9.586207,-0.432208,-5.828678,1.000000,1.000000,0.000000
7.000000,10.413793,-0.333157,-5.226261,1.000000,1.000000,0.000000
7.000000,11.241379,-0.043329,-4.355131,1.000000,1.000000,0.000000
7.000000,12.068966,-0.349787,-4.299059,1.000000,1.000000,0.000000
7.000000,12.896552,0.073278,-3.309332,1.000000,1.000000,0.000000
7.000000,13.724138,0.666481,-3.481215,1.000000,1.000000,0.000000
7.000000,14.551724,0.068233,-4.679227,1.000000,1.000000,0.000000
7.000000,15.379310,-0.157916,-4.623653,1.000000,1.000000,0.000000
7.000000,16.206897,0.382590,-4.855854,1.000000,1.000000,0.000000
8.000000,9.586207,0.847968,4.160324,1.000000,1.000000,0.000000
8.000000,10.413793,0.270042,3.942081,1.000000,1.000000,0.000000
8.000000,11.241379,-0.178549,3.396572,1.000000,1.000000,0.000000
